wc_year,wc_start,confederation,tournament,edition,champion,runner_up,final_date,gap_months,within_18mo,used_fallback,note
1930,1930-07-13,UEFA,,,,,,,False,True,no prior continental final
1930,1930-07-13,CONMEBOL,Copa América,1929.0,Argentina,Paraguay,1929-11-17,8.0,True,False,
1930,1930-07-13,CAF,,,,,,,False,True,no prior continental final
1930,1930-07-13,CONCACAF,,,,,,,False,True,no prior continental final
1930,1930-07-13,OFC,,,,,,,False,True,no prior continental final
1930,1930-07-13,AFC,,,,,,,False,True,no prior continental final
1934,1934-05-27,UEFA,,,,,,,False,True,no prior continental final
1934,1934-05-27,CONMEBOL,Copa América,1929.0,Argentina,Paraguay,1929-11-17,54.0,False,True,fallback: no continental final within 18 months
1934,1934-05-27,CAF,,,,,,,False,True,no prior continental final
1934,1934-05-27,CONCACAF,,,,,,,False,True,no prior continental final
1934,1934-05-27,OFC,,,,,,,False,True,no prior continental final
1934,1934-05-27,AFC,,,,,,,False,True,no prior continental final
1938,1938-06-04,UEFA,,,,,,,False,True,no prior continental final
1938,1938-06-04,CONMEBOL,Copa América,1937.0,Argentina,Brazil,1937-02-01,16.0,True,False,
1938,1938-06-04,CAF,,,,,,,False,True,no prior continental final
1938,1938-06-04,CONCACAF,,,,,,,False,True,no prior continental final
1938,1938-06-04,OFC,,,,,,,False,True,no prior continental final
1938,1938-06-04,AFC,,,,,,,False,True,no prior continental final
1950,1950-06-24,UEFA,,,,,,,False,True,no prior continental final
1950,1950-06-24,CONMEBOL,Copa América,1949.0,Brazil,Paraguay,1949-05-11,13.0,True,False,
1950,1950-06-24,CAF,,,,,,,False,True,no prior continental final
1950,1950-06-24,CONCACAF,,,,,,,False,True,no prior continental final
1950,1950-06-24,OFC,,,,,,,False,True,no prior continental final
1950,1950-06-24,AFC,,,,,,,False,True,no prior continental final
1954,1954-06-16,UEFA,,,,,,,False,True,no prior continental final
1954,1954-06-16,CONMEBOL,Copa América,1953.0,Paraguay,Brazil,1953-04-04,14.0,True,False,
1954,1954-06-16,CAF,,,,,,,False,True,no prior continental final
1954,1954-06-16,CONCACAF,,,,,,,False,True,no prior continental final
1954,1954-06-16,OFC,,,,,,,False,True,no prior continental final
1954,1954-06-16,AFC,,,,,,,False,True,no prior continental final
1958,1958-06-08,UEFA,,,,,,,False,True,no prior continental final
1958,1958-06-08,CONMEBOL,Copa América,1957.0,Argentina,Brazil,1957-04-10,14.0,True,False,
1958,1958-06-08,CAF,African Cup of Nations,1957.0,Egypt,Ethiopia,1957-02-16,16.0,True,False,
1958,1958-06-08,CONCACAF,,,,,,,False,True,no prior continental final
1958,1958-06-08,OFC,,,,,,,False,True,no prior continental final
1958,1958-06-08,AFC,AFC Asian Cup,1956.0,South Korea,Israel,1956-09-15,21.0,False,True,fallback: no continental final within 18 months
1962,1962-05-30,UEFA,UEFA Euro,1960.0,Russia,Yugoslavia,1960-07-10,22.0,False,True,fallback: no continental final within 18 months
1962,1962-05-30,CONMEBOL,Copa América,1959.0,Uruguay,Argentina,1959-12-30,29.0,False,True,fallback: no continental final within 18 months
1962,1962-05-30,CAF,African Cup of Nations,1962.0,Ethiopia,Egypt,1962-01-21,4.0,True,False,
1962,1962-05-30,CONCACAF,,,,,,,False,True,no prior continental final
1962,1962-05-30,OFC,,,,,,,False,True,no prior continental final
1962,1962-05-30,AFC,AFC Asian Cup,1960.0,South Korea,Israel,1960-10-23,19.0,False,True,fallback: no continental final within 18 months
1966,1966-07-11,UEFA,UEFA Euro,1964.0,Spain,Russia,1964-06-21,25.0,False,True,fallback: no continental final within 18 months
1966,1966-07-11,CONMEBOL,Copa América,1963.0,Bolivia,Paraguay,1963-03-31,40.0,False,True,fallback: no continental final within 18 months
1966,1966-07-11,CAF,African Cup of Nations,1965.0,Ghana,Tunisia,1965-11-21,8.0,True,False,
1966,1966-07-11,CONCACAF,CONCACAF Championship,1965.0,Mexico,Guatemala,1965-04-11,15.0,True,False,
1966,1966-07-11,OFC,,,,,,,False,True,no prior continental final
1966,1966-07-11,AFC,AFC Asian Cup,1964.0,Israel,India,1964-06-03,25.0,False,True,fallback: no continental final within 18 months
1970,1970-05-31,UEFA,UEFA Euro,1968.0,Italy,Yugoslavia,1968-06-10,23.0,False,True,fallback: no continental final within 18 months
1970,1970-05-31,CONMEBOL,Copa América,1967.0,Uruguay,Argentina,1967-11-04,30.0,False,True,fallback: no continental final within 18 months
1970,1970-05-31,CAF,African Cup of Nations,1970.0,Sudan,Ghana,1970-03-06,2.0,True,False,
1970,1970-05-31,CONCACAF,CONCACAF Championship,1969.0,Costa Rica,Guatemala,1969-12-04,5.0,True,False,
1970,1970-05-31,OFC,,,,,,,False,True,no prior continental final
1970,1970-05-31,AFC,AFC Asian Cup,1968.0,Iran,Burma,1968-05-19,24.0,False,True,fallback: no continental final within 18 months
1974,1974-06-13,UEFA,UEFA Euro,1972.0,Germany,Russia,1972-06-18,24.0,False,True,fallback: no continental final within 18 months
1974,1974-06-13,CONMEBOL,Copa América,1967.0,Uruguay,Argentina,1967-11-04,79.0,False,True,fallback: no continental final within 18 months
1974,1974-06-13,CAF,African Cup of Nations,1974.0,DR Congo,Zambia,1974-03-14,3.0,True,False,
1974,1974-06-13,CONCACAF,CONCACAF Championship,1973.0,Haiti,Trinidad and Tobago,1973-12-14,6.0,True,False,
1974,1974-06-13,OFC,Oceania Nations Cup,1973.0,New Zealand,Tahiti,1973-02-24,16.0,True,False,
1974,1974-06-13,AFC,AFC Asian Cup,1972.0,Iran,South Korea,1972-05-19,25.0,False,True,fallback: no continental final within 18 months
