confederation,tournament,year,champion,runner_up,final_date
UEFA,UEFA Euro,1960,Russia,Yugoslavia,1960-07-10
UEFA,UEFA Euro,1964,Spain,Russia,1964-06-21
UEFA,UEFA Euro,1968,Italy,Yugoslavia,1968-06-10
UEFA,UEFA Euro,1972,Germany,Russia,1972-06-18
UEFA,UEFA Euro,1976,Czechoslovakia,Germany,1976-06-20
UEFA,UEFA Euro,1980,Germany,Belgium,1980-06-22
UEFA,UEFA Euro,1984,France,Spain,1984-06-27
UEFA,UEFA Euro,1988,Netherlands,Russia,1988-06-25
UEFA,UEFA Euro,1992,Denmark,Germany,1992-06-26
UEFA,UEFA Euro,1996,Germany,Czech Republic,1996-06-30
UEFA,UEFA Euro,2000,France,Italy,2000-07-02
UEFA,UEFA Euro,2004,Greece,Portugal,2004-07-04
UEFA,UEFA Euro,2008,Spain,Germany,2008-06-29
UEFA,UEFA Euro,2012,Spain,Italy,2012-07-01
UEFA,UEFA Euro,2016,Portugal,France,2016-07-10
UEFA,UEFA Euro,2020,Italy,England,2021-07-11
UEFA,UEFA Euro,2024,Spain,England,2024-07-14
CONMEBOL,Copa América,1929,Argentina,Paraguay,1929-11-17
CONMEBOL,Copa América,1935,Uruguay,Argentina,1935-01-27
CONMEBOL,Copa América,1937,Argentina,Brazil,1937-02-01
CONMEBOL,Copa América,1939,Peru,Uruguay,1939-02-12
CONMEBOL,Copa América,1941,Argentina,Uruguay,1941-03-04
CONMEBOL,Copa América,1942,Uruguay,Argentina,1942-02-07
CONMEBOL,Copa América,1945,Argentina,Brazil,1945-03-25
CONMEBOL,Copa América,1946,Argentina,Brazil,1946-02-12
CONMEBOL,Copa América,1947,Argentina,Brazil,1947-12-31
CONMEBOL,Copa América,1949,Brazil,Paraguay,1949-05-11
CONMEBOL,Copa América,1953,Paraguay,Brazil,1953-04-04
CONMEBOL,Copa América,1955,Argentina,Chile,1955-03-30
CONMEBOL,Copa América,1956,Uruguay,Argentina,1956-03-15
CONMEBOL,Copa América,1957,Argentina,Brazil,1957-04-10
CONMEBOL,Copa América,1959,Argentina,Brazil,1959-04-10
CONMEBOL,Copa América,1959,Uruguay,Argentina,1959-12-30
CONMEBOL,Copa América,1963,Bolivia,Paraguay,1963-03-31
CONMEBOL,Copa América,1967,Uruguay,Argentina,1967-11-04
CONMEBOL,Copa América,1975,Peru,Colombia,1975-10-28
CONMEBOL,Copa América,1979,Paraguay,Chile,1979-12-11
CONMEBOL,Copa América,1983,Uruguay,Brazil,1983-11-04
CONMEBOL,Copa América,1987,Uruguay,Chile,1987-07-12
CONMEBOL,Copa América,1989,Brazil,Uruguay,1989-07-16
CONMEBOL,Copa América,1991,Argentina,Brazil,1991-07-21
CONMEBOL,Copa América,1993,Argentina,Mexico,1993-07-04
CONMEBOL,Copa América,1995,Uruguay,Brazil,1995-07-23
