team,confederation,p_win_do1,p_win_do0,diff_mean,diff_p5,diff_p95
Spain,UEFA,0.2162297776040721,0.2051570511856653,0.01107272641840497,-0.054257988586902894,0.09956532415777528
France,UEFA,0.06888541455445611,0.06528730956631684,0.00359810498813967,-0.01796223880248906,0.03194178136243511
Morocco,CAF,0.02530180298868865,0.022231038252766566,0.003070764735921984,-0.013023777557065692,0.02565929288253531
England,UEFA,0.03811006622248326,0.03609428755911584,0.0020157786633692065,-0.010197857007917584,0.018298828384655963
Portugal,UEFA,0.038076000760138284,0.036061984210576846,0.002014016549561455,-0.010186146547374535,0.01828230203640962
Germany,UEFA,0.02932551817511426,0.027765295014590942,0.0015602231605224449,-0.007647875628719363,0.014024210487942751
Turkey,UEFA,0.026096620517453116,0.024704526111238006,0.0013920944062148436,-0.006811791868113187,0.012509903759361916
Senegal,CAF,0.012092916947451827,0.010706628900484818,0.0013862880469671052,-0.005994004067002566,0.012519045940549743
Algeria,CAF,0.011546580395150843,0.010227882709665308,0.0013186976854863972,-0.0056229179818459325,0.011945881388659568
Japan,AFC,0.02239959041697709,0.021226345052130377,0.0011732453648461746,-0.011752951037507323,0.019496241857154484
Netherlands,UEFA,0.02167090826943545,0.02051001617047004,0.0011608920989652027,-0.005536289885899137,0.010281097781689761
Norway,UEFA,0.018930113913080387,0.01791292551239702,0.0010171884006839045,-0.004748006584055258,0.009283829349995788
Colombia,CONCACAF,0.03033882328081224,0.029371371575752106,0.0009674517050605558,-0.017184240383663053,0.02396180454322245
Croatia,UEFA,0.017175100486316278,0.016250178378136332,0.0009249221081801381,-0.0042849887495819035,0.008305729462598057
Belgium,UEFA,0.016510508053244426,0.015620581956651032,0.0008899260965926206,-0.004109851906515695,0.007938048864733802
Switzerland,UEFA,0.01623681093402368,0.015361306706013786,0.0008755042280096914,-0.004037763539487966,0.007776024904054121
Ivory Coast,CAF,0.006412058642789081,0.005715216124109411,0.0006968425186797278,-0.0031530534659908425,0.006530487403190208
Egypt,CAF,0.005768943645807957,0.005147783639484034,0.0006211600063239288,-0.0028226432695631727,0.005764497054203863
Mexico,CONCACAF,0.01901259350038206,0.018421035462239835,0.0005915580381415395,-0.011077898503676723,0.014871587152291508
Austria,UEFA,0.010077445823798435,0.009528276998498626,0.0005491688252997471,-0.0024248254694858497,0.004607865445310831
Iran,AFC,0.007578445679974317,0.0072674218218102965,0.0003110238581638533,-0.00418717578230756,0.006382250666415269
Australia,AFC,0.007234941943058123,0.006941650291800996,0.0002932916512574494,-0.004006221960249061,0.006146459583239831
South Korea,AFC,0.007162956477950583,0.006873359672427137,0.0002895968055239144,-0.003968208019462243,0.006096727508398774
