month,threshold,confederation,share,share_pct
1992-01,5,AFC,0.0,0.0
1992-01,5,CAF,0.6,60.0
1992-01,5,CONCACAF,0.0,0.0
1992-01,5,CONMEBOL,0.0,0.0
1992-01,5,OFC,0.0,0.0
1992-01,5,UEFA,0.4,40.0
1992-02,5,AFC,0.0,0.0
1992-02,5,CAF,0.0,0.0
1992-02,5,CONCACAF,0.0,0.0
1992-02,5,CONMEBOL,0.2,20.0
1992-02,5,OFC,0.0,0.0
1992-02,5,UEFA,0.8,80.0
1992-03,5,AFC,0.0,0.0
1992-03,5,CAF,0.0,0.0
1992-03,5,CONCACAF,0.0,0.0
1992-03,5,CONMEBOL,0.0,0.0
1992-03,5,OFC,0.0,0.0
1992-03,5,UEFA,1.0,100.0
1992-04,5,AFC,0.0,0.0
1992-04,5,CAF,0.0,0.0
1992-04,5,CONCACAF,0.0,0.0
1992-04,5,CONMEBOL,0.2,20.0
1992-04,5,OFC,0.0,0.0
1992-04,5,UEFA,0.8,80.0
1992-05,5,AFC,0.0,0.0
1992-05,5,CAF,0.0,0.0
1992-05,5,CONCACAF,0.0,0.0
1992-05,5,CONMEBOL,0.2,20.0
1992-05,5,OFC,0.0,0.0
1992-05,5,UEFA,0.8,80.0
1992-06,5,AFC,0.0,0.0
1992-06,5,CAF,0.0,0.0
1992-06,5,CONCACAF,0.0,0.0
1992-06,5,CONMEBOL,0.2,20.0
1992-06,5,OFC,0.0,0.0
1992-06,5,UEFA,0.8,80.0
1992-07,5,AFC,0.0,0.0
1992-07,5,CAF,0.2,20.0
1992-07,5,CONCACAF,0.2,20.0
1992-07,5,CONMEBOL,0.4,40.0
1992-07,5,OFC,0.2,20.0
1992-07,5,UEFA,0.0,0.0
1992-08,5,AFC,0.0,0.0
1992-08,5,CAF,0.0,0.0
1992-08,5,CONCACAF,0.0,0.0
1992-08,5,CONMEBOL,0.4,40.0
1992-08,5,OFC,0.0,0.0
1992-08,5,UEFA,0.6,60.0
1992-09,5,AFC,0.0,0.0
1992-09,5,CAF,0.0,0.0
1992-09,5,CONCACAF,0.0,0.0
1992-09,5,CONMEBOL,0.4,40.0
1992-09,5,OFC,0.0,0.0
1992-09,5,UEFA,0.6,60.0
1992-10,5,AFC,0.0,0.0
1992-10,5,CAF,0.0,0.0
1992-10,5,CONCACAF,0.0,0.0
1992-10,5,CONMEBOL,0.2,20.0
1992-10,5,OFC,0.0,0.0
1992-10,5,UEFA,0.8,80.0
1992-11,5,AFC,0.0,0.0
1992-11,5,CAF,0.0,0.0
1992-11,5,CONCACAF,0.0,0.0
1992-11,5,CONMEBOL,0.4,40.0
1992-11,5,OFC,0.0,0.0
1992-11,5,UEFA,0.6,60.0
1992-12,5,AFC,0.0,0.0
1992-12,5,CAF,0.0,0.0
1992-12,5,CONCACAF,0.0,0.0
1992-12,5,CONMEBOL,0.4,40.0
1992-12,5,OFC,0.0,0.0
1992-12,5,UEFA,0.6,60.0
1993-01,5,AFC,0.0,0.0
1993-01,5,CAF,0.0,0.0
1993-01,5,CONCACAF,0.2,20.0
1993-01,5,CONMEBOL,0.0,0.0
1993-01,5,OFC,0.0,0.0
1993-01,5,UEFA,0.8,80.0
1993-02,5,AFC,0.0,0.0
1993-02,5,CAF,0.0,0.0
1993-02,5,CONCACAF,0.0,0.0
1993-02,5,CONMEBOL,0.4,40.0
1993-02,5,OFC,0.0,0.0
