threshold,confederation,alpha,months_led,pct_window_led,final_share,final_rank,forecast_share
5,UEFA,0.59,276,68.31683168316832,0.6,1,0.557299650628012
5,CONMEBOL,0.04,62,15.346534653465346,0.2,2,0.20332998848195097
5,CAF,0.060000000000000005,28,6.930693069306931,0.0,4,0.09697708225817815
5,CONCACAF,0.03,55,13.613861386138614,0.2,2,0.23418181805710891
5,OFC,0.01,3,0.7425742574257426,0.0,4,0.007176376121928024
5,AFC,0.02,38,9.405940594059405,0.0,4,0.12675092207702826
10,UEFA,0.74,281,69.55445544554455,0.6,1,0.5654918497110683
10,CONMEBOL,0.060000000000000005,25,6.188118811881188,0.2,2,0.1734079453882266
10,CAF,0.060000000000000005,42,10.396039603960396,0.1,3,0.11622350428209502
10,CONCACAF,0.03,50,12.376237623762377,0.1,3,0.24470658571844298
10,OFC,0.01,3,0.7425742574257426,0.0,5,0.01028078007589887
10,AFC,0.39,41,10.148514851485148,0.0,5,0.020083641892178327
20,UEFA,0.79,262,64.85148514851485,0.45,1,0.4805611455606963
20,CONMEBOL,0.34,11,2.722772277227723,0.15,3,0.13934604766022496
20,CAF,0.09,63,15.594059405940595,0.2,2,0.15229635821825332
20,CONCACAF,0.03,42,10.396039603960396,0.15,3,0.24984253006014417
20,OFC,0.03,2,0.49504950495049505,0.0,6,0.015132382663452508
20,AFC,0.48000000000000004,40,9.900990099009901,0.05,5,0.07058214996521278
