confederation,year,mean_elo
AFC,1992,1521.678405161899
AFC,1993,1487.0681356267382
AFC,1994,1569.4583397750098
AFC,1995,1449.0492092658496
AFC,1996,1517.4859349730366
AFC,1997,1532.559445432518
AFC,1998,1537.8860924728865
AFC,1999,1411.3062012016621
AFC,2000,1520.9016869787317
AFC,2001,1549.269728059746
AFC,2002,1535.1211292167627
AFC,2003,1457.7932721753928
AFC,2004,1515.7486375166116
AFC,2005,1587.1369124305536
AFC,2006,1485.65955283782
AFC,2007,1491.8038812313785
AFC,2008,1492.4622849153636
AFC,2009,1544.5549803683891
AFC,2010,1547.0505726066451
AFC,2011,1460.3472884513226
AFC,2012,1502.6714415964125
AFC,2013,1492.3063626025746
AFC,2014,1480.9622122167227
AFC,2015,1421.6644161087972
AFC,2016,1409.8038011943947
AFC,2017,1461.6454069837403
AFC,2018,1462.5597900641922
AFC,2019,1453.0332437515005
AFC,2020,1605.0004723705097
AFC,2021,1506.9728091536435
AFC,2022,1496.5241961910226
CAF,1992,1550.9593361477296
CAF,1993,1563.9637325158212
CAF,1994,1555.361178964965
CAF,1995,1536.7917878090805
CAF,1996,1539.1458318476707
CAF,1997,1532.2400943371488
CAF,1998,1526.866850130646
CAF,1999,1525.1092800914728
CAF,2000,1506.645386473929
CAF,2001,1540.933385353515
CAF,2002,1526.6422356123132
CAF,2003,1491.84708039212
CAF,2004,1568.722448938606
CAF,2005,1565.2284146903557
CAF,2006,1534.3800904968764
CAF,2007,1509.227702939295
CAF,2008,1526.5487396059107
CAF,2009,1553.8328875717746
CAF,2010,1549.6303983902976
CAF,2011,1499.3065466273267
CAF,2012,1542.846785154661
CAF,2013,1548.9347991247876
CAF,2014,1535.069229384624
CAF,2015,1487.797005702474
CAF,2016,1519.694881187234
CAF,2017,1542.4938054089998
CAF,2018,1510.5453025562842
CAF,2019,1499.4307238670028
CAF,2020,1530.8301434505772
CAF,2021,1521.0357862176159
CAF,2022,1533.0879094471215
CONCACAF,1992,1512.2149910138464
CONCACAF,1993,1553.4584210914654
CONCACAF,1994,1562.3291856184485
CONCACAF,1995,1527.7537295322952
CONCACAF,1996,1527.5497608689404
CONCACAF,1997,1544.0149489673038
CONCACAF,1998,1528.6877702369516
CONCACAF,1999,1542.2215535569185
CONCACAF,2000,1552.1396046984037
CONCACAF,2001,1582.8823842490256
CONCACAF,2002,1540.6468746930984
CONCACAF,2003,1660.0233294910963
CONCACAF,2004,1524.868729047777
CONCACAF,2005,1672.0713689596714
CONCACAF,2006,1572.3005441660525
CONCACAF,2007,1631.0797086436744
CONCACAF,2008,1519.152947704583
CONCACAF,2009,1649.5142954148018
CONCACAF,2010,1566.7447830361496
CONCACAF,2011,1515.0857631813726
CONCACAF,2012,1580.3666747212494
CONCACAF,2013,1679.503865735599
CONCACAF,2014,1537.466093031831
CONCACAF,2015,1545.5821504076353
CONCACAF,2016,1568.3745024330208
CONCACAF,2017,1618.8810101615459
CONCACAF,2018,1458.9497976901398
CONCACAF,2019,1454.151893740801
CONCACAF,2020,1736.696928564571
CONCACAF,2021,1553.6468958710539
CONCACAF,2022,1557.6071233496475
CONMEBOL,1992,1861.1730348621093
CONMEBOL,1993,1738.890486600881
CONMEBOL,1994,1757.0476575958342
CONMEBOL,1995,1808.0518917740699
CONMEBOL,1996,1756.8254676610254
CONMEBOL,1997,1796.0211108610108
CONMEBOL,1998,1892.6978118889926
CONMEBOL,1999,1818.7215345998893
CONMEBOL,2000,1806.1396481448048
CONMEBOL,2001,1784.2058108535623
CONMEBOL,2002,1821.0407289769244
CONMEBOL,2003,1828.8808091915919
CONMEBOL,2004,1835.7973564232832
CONMEBOL,2005,1843.5991719940648
CONMEBOL,2006,1862.4780161006886
CONMEBOL,2007,1844.8359209984785
CONMEBOL,2008,1858.0960945674651
CONMEBOL,2009,1875.6526849543814
CONMEBOL,2010,1933.7149154154954
CONMEBOL,2011,1893.2715394577867
CONMEBOL,2012,1913.8093964564414
CONMEBOL,2013,1936.7393015366708
CONMEBOL,2014,1957.2373053135725
CONMEBOL,2015,1969.412635581046
CONMEBOL,2016,1963.337766912043
CONMEBOL,2017,1969.280304983352
CONMEBOL,2018,1958.4465891410225
CONMEBOL,2019,1924.8460224651315
CONMEBOL,2020,1923.8244100561305
CONMEBOL,2021,1938.0930839221226
CONMEBOL,2022,1970.3159125544382
OFC,1992,1567.0424347162066
OFC,1993,1552.6871501207413
OFC,1994,1524.3116868263833
OFC,1995,1571.1651205569267
OFC,1996,1521.5284983514575
OFC,1997,1528.3945999436266
OFC,1998,1473.9680249096223
OFC,1999,1552.0958356779117
OFC,2000,1452.7249715395174
OFC,2001,1475.0680671919474
OFC,2002,1477.1464524561447
OFC,2003,1465.9325946887714
OFC,2004,1507.552583710911
OFC,2005,1481.8977199588064
OFC,2006,1529.586885162216
OFC,2007,1436.3825787660232
OFC,2008,1544.3468865289399
OFC,2009,1436.3369904124509
OFC,2010,1554.237705621658
OFC,2011,1404.907714035104
OFC,2012,1479.8707562007805
OFC,2013,1534.2089511407912
OFC,2014,1428.9770986969438
OFC,2015,1303.8932374117217
OFC,2016,1471.8650113808108
OFC,2017,1496.0358411928498
OFC,2018,1445.4879171355963
OFC,2019,1326.6337650746107
OFC,2021,1251.522093071329
OFC,2022,1498.4386271663402
UEFA,1992,1680.0612769652676
UEFA,1993,1676.0156763715518
UEFA,1994,1664.5147929416746
UEFA,1995,1639.3463148809374
UEFA,1996,1646.7591103208404
UEFA,1997,1643.425751236634
UEFA,1998,1675.6077546038578
UEFA,1999,1669.2627568420462
UEFA,2000,1667.928592083414
UEFA,2001,1668.5361014924824
UEFA,2002,1682.3392479159231
UEFA,2003,1675.0810011357935
UEFA,2004,1680.4446504870814
UEFA,2005,1675.485060310291
UEFA,2006,1701.900971227334
UEFA,2007,1673.6379744317248
UEFA,2008,1694.7783190588382
UEFA,2009,1682.5447376856107
UEFA,2010,1694.7059410413071
UEFA,2011,1685.139242227543
UEFA,2012,1698.0642570855637
UEFA,2013,1693.9323140739903
UEFA,2014,1697.0998630752717
UEFA,2015,1684.9129215792402
UEFA,2016,1695.2652691322164
UEFA,2017,1695.7272732593672
UEFA,2018,1712.1169022273427
UEFA,2019,1694.7913092326717
UEFA,2020,1695.9543107713228
UEFA,2021,1705.9864701647923
UEFA,2022,1709.515378599691
