confederation,slider_level,length_scale_years,year,mean,p5,p95
UEFA,0.4,3.32,1992,1675.517303528416,1661.53331732961,1689.5012897272218
UEFA,0.4,3.32,1993,1671.0012285244004,1658.8513419088085,1683.151115139992
UEFA,0.4,3.32,1994,1662.6552040036638,1653.9944477632412,1671.3159602440862
UEFA,0.4,3.32,1995,1654.1744528643278,1641.0827290103005,1667.2661767183552
UEFA,0.4,3.32,1996,1651.89513408954,1637.0872699867443,1666.7029981923358
UEFA,0.4,3.32,1997,1656.7124352014441,1646.709351186747,1666.7155192161413
UEFA,0.4,3.32,1998,1664.9270931996448,1654.4589540985878,1675.395232300702
UEFA,0.4,3.32,1999,1668.244374214415,1657.6240931092302,1678.8646553196002
UEFA,0.4,3.32,2000,1668.4309000537962,1659.9690318384614,1676.8927682691312
UEFA,0.4,3.32,2001,1671.7262759268447,1663.3810157020844,1680.071536151605
UEFA,0.4,3.32,2002,1676.3765568249698,1667.5809001992084,1685.1722134507315
UEFA,0.4,3.32,2003,1678.1589166093192,1669.8559318167986,1686.46190140184
UEFA,0.4,3.32,2004,1679.1828464505775,1670.5700183002873,1687.7956746008674
UEFA,0.4,3.32,2005,1683.0575898660766,1674.8299028389122,1691.285276893241
UEFA,0.4,3.32,2006,1686.6716570039569,1677.7976751669944,1695.5456388409193
UEFA,0.4,3.32,2007,1686.0588173359245,1677.7946793814624,1694.3229552903865
UEFA,0.4,3.32,2008,1686.8803196885692,1678.5976027998654,1695.163036577273
UEFA,0.4,3.32,2009,1688.471356977912,1680.2848242083694,1696.6578897474546
UEFA,0.4,3.32,2010,1689.3791064257907,1681.1791989554417,1697.5790138961395
UEFA,0.4,3.32,2011,1690.3279531410262,1682.1042964432804,1698.5516098387723
UEFA,0.4,3.32,2012,1692.5209315197224,1684.2258957599956,1700.815967279449
UEFA,0.4,3.32,2013,1693.96507094029,1685.4526894843355,1702.4774523962446
UEFA,0.4,3.32,2014,1693.1253532894352,1684.8703142344807,1701.3803923443895
UEFA,0.4,3.32,2015,1691.8897789779103,1682.3736576971446,1701.4059002586757
UEFA,0.4,3.32,2016,1693.7451861971967,1684.6713944348319,1702.8189779595618
UEFA,0.4,3.32,2017,1698.2104568162542,1689.829271954532,1706.5916416779764
UEFA,0.4,3.32,2018,1700.9362523919135,1691.814531843705,1710.0579729401218
UEFA,0.4,3.32,2019,1698.9277873367762,1690.3217371192343,1707.5338375543179
UEFA,0.4,3.32,2020,1698.6901994784293,1689.0876410135656,1708.2927579432928
UEFA,0.4,3.32,2021,1702.5355870118694,1693.3072701375586,1711.7639038861803
UEFA,0.4,3.32,2022,1703.799180146602,1692.6241926987138,1714.9741675944902
UEFA,0.4,3.32,2023,1699.8610545557635,1682.4226007123204,1717.2995083992066
UEFA,0.4,3.32,2024,1695.042785694839,1670.6167788574562,1719.4687925322219
UEFA,0.4,3.32,2025,1692.2113714728384,1664.736601996746,1719.6861409489309
UEFA,0.4,3.32,2026,1690.728497833546,1662.1555232255075,1719.3014724415843
UEFA,0.6,4.98,1992,1673.6535455892072,1657.8371231513468,1689.4699680270676
UEFA,0.6,4.98,1993,1669.020842938808,1657.8104116366803,1680.231274240936
UEFA,0.6,4.98,1994,1662.0602427839144,1654.2525941135007,1669.8678914543284
UEFA,0.6,4.98,1995,1655.8236671620875,1642.7713511044974,1668.875983219678
UEFA,0.6,4.98,1996,1654.3446717386348,1639.3257422921945,1669.3636011850754
UEFA,0.6,4.98,1997,1658.3790562742108,1647.988852520676,1668.7692600277458
UEFA,0.6,4.98,1998,1664.2709014900502,1656.5495409475375,1671.9922620325628
UEFA,0.6,4.98,1999,1668.063640855049,1659.7768061694233,1676.3504755406748
UEFA,0.6,4.98,2000,1669.7902718224568,1662.047047831791,1677.5334958131227
UEFA,0.6,4.98,2001,1671.7775641485127,1664.4584536297966,1679.0966746672289
UEFA,0.6,4.98,2002,1674.4764631055343,1667.126395557592,1681.8265306534765
UEFA,0.6,4.98,2003,1676.9021200375428,1669.6489126960364,1684.1553273790491
UEFA,0.6,4.98,2004,1679.276852952642,1672.0280403786612,1686.5256655266226
UEFA,0.6,4.98,2005,1682.1913181909254,1674.8014584436523,1689.5811779381982
UEFA,0.6,4.98,2006,1684.754727413521,1677.2063154296766,1692.3031393973656
UEFA,0.6,4.98,2007,1686.1109777734723,1678.9113388215767,1693.310616725368
UEFA,0.6,4.98,2008,1686.9590517436902,1679.92912063126,1693.9889828561206
UEFA,0.6,4.98,2009,1688.0783081848988,1681.0247933881096,1695.1318229816877
UEFA,0.6,4.98,2010,1689.5089188352558,1682.4777907998036,1696.5400468707082
UEFA,0.6,4.98,2011,1691.2605189767091,1684.2811851145182,1698.2398528389
UEFA,0.6,4.98,2012,1693.0552148798151,1686.0105154721705,1700.0999142874598
UEFA,0.6,4.98,2013,1693.9268378553118,1686.8419926371294,1701.0116830734942
UEFA,0.6,4.98,2014,1693.5412849717072,1686.180166472852,1700.9024034705624
UEFA,0.6,4.98,2015,1693.3861306975552,1685.1153845946662,1701.656876800444
UEFA,0.6,4.98,2016,1695.1505813250858,1687.4412192169054,1702.8599434332662
UEFA,0.6,4.98,2017,1698.1054335078343,1690.9728923612986,1705.23797465437
UEFA,0.6,4.98,2018,1699.7850567185624,1692.4281704650887,1707.141942972036
UEFA,0.6,4.98,2019,1699.6774775580602,1692.3614300765148,1706.9935250396056
UEFA,0.6,4.98,2020,1700.0173772082037,1692.2087359897916,1707.826018426616
UEFA,0.6,4.98,2021,1701.8560298707864,1693.6249726803119,1710.087087061261
UEFA,0.6,4.98,2022,1703.1628740983824,1692.8149352808744,1713.5108129158905
UEFA,0.6,4.98,2023,1701.9817206034422,1687.6521514386318,1716.3112897682527
UEFA,0.6,4.98,2024,1698.8987316063124,1679.3387871560176,1718.4586760566071
UEFA,0.6,4.98,2025,1695.6942631060112,1671.8687312633865,1719.519794948636
UEFA,0.6,4.98,2026,1693.3661171343333,1667.0116459875683,1719.7205882810981
UEFA,0.8,6.64,1992,1672.3056041499099,1655.9861959125212,1688.6250123872983
