wc_year,host,winner,runner_up,start,end,winner_confederation,runner_up_confederation
1930,Uruguay,Uruguay,Argentina,1930-07-13,1930-07-30,CONMEBOL,CONMEBOL
1934,Italy,Italy,Czechoslovakia,1934-05-27,1934-06-10,UEFA,UEFA
1938,France,Italy,Hungary,1938-06-04,1938-06-19,UEFA,UEFA
1950,Brazil,Uruguay,Brazil,1950-06-24,1950-07-16,CONMEBOL,CONMEBOL
1954,Switzerland,Germany,Hungary,1954-06-16,1954-07-04,UEFA,UEFA
1958,Sweden,Brazil,Sweden,1958-06-08,1958-06-29,CONMEBOL,UEFA
1962,Chile,Brazil,Czechoslovakia,1962-05-30,1962-06-17,CONMEBOL,UEFA
1966,England,England,Germany,1966-07-11,1966-07-30,UEFA,UEFA
1970,Mexico,Brazil,Italy,1970-05-31,1970-06-21,CONMEBOL,UEFA
1974,Germany,Germany,Netherlands,1974-06-13,1974-07-07,UEFA,UEFA
1978,Argentina,Argentina,Netherlands,1978-06-01,1978-06-25,CONMEBOL,UEFA
1982,Spain,Italy,Germany,1982-06-13,1982-07-11,UEFA,UEFA
1986,Mexico,Argentina,Germany,1986-05-31,1986-06-29,CONMEBOL,UEFA
1990,Italy,Germany,Argentina,1990-06-08,1990-07-08,UEFA,CONMEBOL
1994,United States,Brazil,Italy,1994-06-17,1994-07-17,CONMEBOL,UEFA
1998,France,France,Brazil,1998-06-10,1998-07-12,UEFA,CONMEBOL
2002,South Korea/Japan,Brazil,Germany,2002-05-31,2002-06-30,CONMEBOL,UEFA
2006,Germany,Italy,France,2006-06-09,2006-07-09,UEFA,UEFA
2010,South Africa,Spain,Netherlands,2010-06-11,2010-07-11,UEFA,UEFA
2014,Brazil,Germany,Argentina,2014-06-12,2014-07-13,UEFA,CONMEBOL
2018,Russia,France,Croatia,2018-06-14,2018-07-15,UEFA,UEFA
2022,Qatar,Argentina,France,2022-11-20,2022-12-18,CONMEBOL,UEFA
2026,United States/Canada/Mexico,,,2026-06-11,2026-07-19,Other,Other
