team,elo
Abkhazia,1622.1221811432865
Afghanistan,1133.1240184392682
Albania,1668.295847756685
Alderney,1088.614222284808
Algeria,1905.0192278468544
Ambazonia,1379.193146871963
American Samoa,909.077786701322
Andalusia,1653.99505828628
Andorra,1150.0076960224076
Angola,1586.4623055862646
Anguilla,878.6721042880235
Antigua and Barbuda,1051.0161142412583
Arameans Suryoye,1558.2189635694933
Argentina,2281.979720822559
Armenia,1437.598456205323
Artsakh,1551.9040954455743
Aruba,1190.1675408298784
Asturias,1534.358153089067
Australia,1916.6184613232635
Austria,1924.0132556751034
Aymara,1454.6662076995838
Azerbaijan,1404.0334108935062
Bahamas,907.0026167892784
Bahrain,1503.1876447357197
Bangladesh,1121.005438169141
Barawa,1344.4925104271167
Barbados,1097.6825359178943
Basque Country,1876.099830683906
Belarus,1642.8140265603615
Belgium,2049.758118797439
Belize,1261.4422992247867
Benin,1551.4076183797679
Bermuda,1341.1616723586515
Bhutan,848.0270548053437
Biafra,1524.0805393153037
Bolivia,1719.6284962902228
Bonaire,1077.4981634094793
Bosnia and Herzegovina,1694.7933895761155
Botswana,1390.6741648901473
Brazil,2086.755039464349
British Virgin Islands,1019.189602281499
Brittany,1512.8887202553074
Brunei,888.128953033296
Bulgaria,1562.9518228709053
Burkina Faso,1668.6532935248074
Burundi,1386.7558145770843
Cambodia,1052.9024615841856
Cameroon,1749.1757165240767
Canada,1862.5896687510094
Canary Islands,1526.6089824348717
Canton Ticino,1404.6688482007353
Cape Verde,1711.1817987575703
Cascadia,1550.5796180668176
Catalonia,1749.4988849204385
Cayman Islands,1017.075629950209
Central African Republic,1363.836323806552
Central Spain,1499.4864646464728
Chad,1221.0620105563726
Chagos Islands,1353.8825962448286
Chameria,1539.9232330002076
Chechnya,1452.2347601377724
Chile,1836.79239493581
China,1552.4407744527705
Cilento,1484.296005944787
Colombia,2100.9857277071415
Comoros,1496.6818723206436
Congo,1299.2062395028993
Cook Islands,1112.9539352267532
Corsica,1584.148293793889
Costa Rica,1713.142828701802
County of Nice,1611.4815382933382
Crimea,1518.292602171384
Croatia,1959.4811405842413
Cuba,1374.4066679091911
Curaçao,1569.3348538704413
Cyprus,1409.7213829560092
Czech Republic,1775.5440491067302
Czechoslovakia,1812.7039384008428
DR Congo,1812.462550186621
Darfur,1334.7996303766683
Denmark,1957.9561639990873
Djibouti,1066.0874952911163
Dominica,1137.9124557434816
Dominican Republic,1447.1782454684555
Donetsk PR,1525.1926497017578
Délvidék,1492.924650963346
East Turkestan,1457.2031444831748
Ecuador,1998.7878974186979
Egypt,1885.8008641744461
El Salvador,1468.3083509277046
Elba Island,1519.7292466120243
Ellan Vannin,1578.1876589756353
England,2229.3639682669923
Equatorial Guinea,1418.7074449480378
Eritrea,1168.1335573683755
Estonia,1468.3036721266258
Eswatini,1302.0007719537052
Ethiopia,1407.4633166061108
Falkland Islands,1212.6318694516197
Faroe Islands,1508.3802369748812
Felvidék,1513.5818096889225
Fiji,1349.8194368374589
Finland,1606.8275985429666
France,2168.4996525650704
Franconia,1495.7994651245162
French Guiana,1359.0680276162232
Frøya,1187.318471103577
Gabon,1504.9022275771251
Galicia,1552.0539240267203
Gambia,1548.72122174796
Georgia,1718.093325697163
German DR,1806.2695176689447
Germany,2020.4141107057567
Ghana,1689.6296187360454
Gibraltar,1148.295476466714
Gotland,1392.2710275745692
Gozo,1460.954641881309
Greece,1812.690260281603
Greenland,1479.849919283722
Grenada,1261.7591276678888
Guadeloupe,1489.7951511921055
Guam,948.8157039758943
Guatemala,1623.035280342488
Guernsey,1705.0110771229993
Guinea,1566.7744098453807
Guinea-Bissau,1321.6695607074282
Guyana,1471.482379560323
Găgăuzia,1424.0204761383397
Haiti,1640.9235854406497
Hitra,1348.0558605028853
Hmong,1462.7126741193665
Honduras,1690.764570582887
Hong Kong,1258.1361134164877
Hungary,1800.1391169784613
Iceland,1663.5810614550048
India,1181.4424838395653
Indonesia,1502.052210543927
Iran,1889.4302823669404
Iraq,1696.1797185885619
Iraqi Kurdistan,1636.65871065621
Isle of Man,1698.6290527608064
Isle of Wight,1658.440928872902
Israel,1753.1777160612774
Italy,1974.4794816906838
Ivory Coast,1887.9140177120994
Jamaica,1635.682695769574
Japan,1984.157347630452
Jersey,1796.2662304266041
Jordan,1707.592745522998
Kabylia,1453.3798537116554
Kazakhstan,1522.9806996880623
Kenya,1479.5103536370666
Kernow,1635.4783027164392
Kiribati,1273.8271228596795
Kosovo,1823.928304640482
Kurdistan,1578.5990463234423
Kuwait,1471.979343699501
Kyrgyzstan,1439.0183710364145
Kárpátalja,1606.622338999654
Laos,915.4403547039861
Latvia,1343.0066671800932
Lebanon,1417.9068824153617
Lesotho,1416.8535265862258
Liberia,1416.6257429681184
Libya,1568.8909726998597
Liechtenstein,993.5210772946944
Lithuania,1349.2619567235129
Luhansk PR,1486.8938768282428
Luxembourg,1483.9193877130233
Macau,785.1087396097798
Madagascar,1529.9574129021405
Madrid,1479.6735888567894
Malawi,1412.8534702521313
Malaysia,1494.5351545686292
Maldives,960.2759972995952
Mali,1700.5906389550048
Malta,1418.7070669276493
Manchukuo,1413.7887261613412
Mapuche,1503.4513269864938
Marshall Islands,1402.5452711103858
Martinique,1437.9183449097873
Matabeleland,1489.5726323221309
Maule Sur,1541.8824653139225
Mauritania,1462.332278729804
Mauritius,1190.7538528449147
Mayotte,1424.689817605734
Menorca,1535.070133741345
Mexico,2033.1436731533286
Micronesia,1342.5327158197606
Moldova,1343.4355170469123
Monaco,1464.3959271402841
Mongolia,946.3151145340953
Montenegro,1562.722401609314
Montserrat,1226.7381529255154
Morocco,2063.0828972125532
Mozambique,1485.403608788847
Myanmar,1127.0243490144378
Namibia,1396.2983940086208
Nepal,1103.9123324202956
Netherlands,2057.957759784487
New Caledonia,1531.6505803530292
New Zealand,1651.5017237683494
Nicaragua,1482.6703426402034
Niger,1504.8663564836938
Nigeria,1905.164601247473
Niue,1456.7827706321036
North Korea,1475.7729050677933
North Macedonia,1663.798062177928
North Vietnam,1474.430468488578
Northern Cyprus,1743.641587691336
Northern Ireland,1691.5223690967987
Northern Mariana Islands,956.1964097110199
Norway,2071.121006923874
Occitania,1703.6446180782364
Oman,1561.190054521263
Orkney,1397.823542754581
Padania,1638.2038768924917
Pakistan,1092.3201887810023
Palau,1406.0812492567686
Palestine,1580.9043850964363
Panama,1743.9529323034474
Panjab,1572.0865515570138
Papua New Guinea,1401.8608259405203
Paraguay,1937.2668677338058
Parishes of Jersey,1518.3753709824025
Peru,1759.1574428329263
Philippines,1335.7536702525838
Poland,1782.1158243640498
Portugal,2088.486052542952
Provence,1429.6508714313334
Puerto Rico,1338.427434632809
Qatar,1529.083005642091
Quebec,1520.8817979095413
Raetia,1372.0996942409238
Republic of Ireland,1804.2852967690098
Republic of St. Pauli,1454.684248209736
Rhodes,1593.2684337632652
Romani people,1458.4686145948544
Romania,1719.7189123915693
Rouet-Provence,1455.6557019037207
Russia,1864.621248495375
Rwanda,1463.2988152130126
Ryūkyū,1468.6163604477101
Réunion,1560.0584798326256
Saare County,1324.5482148850567
Saarland,1425.4654567697976
Saint Barthélemy,1336.2439932929487
Saint Helena,1330.7639654221935
Saint Kitts and Nevis,1250.293416471019
Saint Lucia,1203.165506790001
Saint Martin,1275.617136169277
Saint Pierre and Miquelon,1315.85475430943
Saint Vincent and the Grenadines,1356.2506904670004
Samoa,1190.709956611552
San Marino,911.652044605777
Sark,1389.9070337388637
Saudi Arabia,1707.7576067777522
Saugeais,1492.7493509782566
Scotland,1826.7432135041001
Sealand,1520.1133872849553
Seborga,1470.6500557316617
Senegal,1884.8462573479824
Serbia,1801.5448060826643
Seychelles,991.9211177303048
Shetland,1488.8645338084705
Sierra Leone,1463.5040820763843
Silesia,1498.051373878977
Singapore,1283.5460343436805
Sint Maarten,1306.215732802683
Slovakia,1744.9238190666183
Slovenia,1777.4599978086574
Solomon Islands,1264.5414112223236
Somalia,1077.1837097766634
Somaliland,1471.3833936252615
South Africa,1711.298954654073
South Korea,1835.2578947401894
South Ossetia,1484.5018533435857
South Sudan,1272.0804057869022
South Yemen,1465.5168112101933
Spain,2397.5065046349464
Sri Lanka,1022.1212575051275
Sudan,1489.2699060090645
Suriname,1582.6093527792052
Surrey,1525.340097502038
Sweden,1824.2557217891244
Switzerland,2043.0451817654457
Syria,1581.6093452001871
Székely Land,1481.0144270211117
Sápmi,1446.7537235130696
São Tomé and Príncipe,1176.6082462714028
Tahiti,1464.7300865127972
Taiwan,1057.521717723406
Tajikistan,1412.1153369651327
Tamil Eelam,1593.78416933955
Tanzania,1363.6131080302703
Thailand,1504.7937933653307
Tibet,1252.045594079131
Timor-Leste,909.0165572145805
Togo,1517.439161919037
Tonga,1019.0018909672805
Trinidad and Tobago,1520.2150783313648
Tunisia,1661.0496207984056
Turkey,1974.296160626851
Turkmenistan,1372.935168609823
Turks and Caicos Islands,990.3677918239304
Tuvalu,1204.3294394467612
Two Sicilies,1405.7008772974912
Uganda,1518.153028827324
Ukraine,1884.964040029076
United Arab Emirates,1658.407474520314
United Koreans in Japan,1496.1362956271078
United States,1844.388002439428
United States Virgin Islands,952.404410061535
Uruguay,1923.9102512041336
Uzbekistan,1725.2350629892107
Vanuatu,1391.1641216857013
Vatican City,1368.0321204727927
Venezuela,1847.7642674730243
Vietnam,1462.496134271029
Vietnam Republic,1323.8518550783024
Wales,1735.5554894073653
Wallis Islands and Futuna,1281.1313162123813
West Papua,1463.1023067077804
Western Armenia,1489.4590474188908
Western Australia,1372.3080606222666
Western Isles,1439.0919526847276
Western Sahara,1414.166191939038
Yemen,1290.1622196529202
Yemen DPR,1357.9912537154344
Ynys Môn,1679.3828682120595
Yorkshire,1576.4658917549077
Yoruba Nation,1475.5665975908607
