team,confederation,elo_pre_wc,continental_champion,p_win_mean,p_win_p5,p_win_p95,win_freq
Spain,UEFA,2264.6,1,0.20840427470591327,0.08282569248477976,0.39327346872335406,0.20842
Argentina,CONMEBOL,2210.7,1,0.14192383590294128,0.0548623773592586,0.25401218926303715,0.14058
France,UEFA,2143.4,0,0.06888172232517877,0.0436412235671827,0.09831593530893747,0.0702
Brazil,CONMEBOL,2085.9,0,0.05882176200980075,0.033857783858548623,0.0954735530209106,0.05858
Ecuador,CONMEBOL,2064.9,0,0.048682673816553806,0.027885488250315407,0.07969548546402877,0.04982
England,UEFA,2078.7,0,0.037894851759602645,0.02559512245655,0.05138860648281205,0.0366
Portugal,UEFA,2078.6,0,0.03786065548920294,0.025574726274449365,0.05134090909982824,0.03796
Colombia,CONCACAF,2065.1,0,0.031054692918449322,0.007998815953365627,0.054510295936493,0.03042
Germany,UEFA,2049.6,0,0.02908690332254802,0.01993558835813913,0.03943417284171671,0.03108
Turkey,UEFA,2036.6,0,0.025855327835017396,0.017444268613528983,0.0350638558779752,0.02742
Morocco,CAF,2025.5,1,0.024557526034544575,0.004092536159003441,0.05698623518866478,0.02434
Japan,AFC,2020.0,0,0.022328200407661654,0.00595065364863477,0.0403722751802095,0.02202
Uruguay,CONMEBOL,1976.4,0,0.02225000349721756,0.01098467354307539,0.040378325855378525,0.02246
Netherlands,UEFA,2015.6,0,0.021432242267817165,0.013827747561052704,0.029781126816456838,0.0219
Norway,UEFA,2000.3,0,0.018697314891873616,0.01166473590605591,0.026486354375506622,0.01858
Mexico,CONCACAF,2013.6,1,0.01807944970061785,0.003326911601368546,0.040456536140080025,0.01834
Paraguay,CONMEBOL,1949.2,0,0.017568848372330796,0.008022321473293143,0.0332777952686102,0.01756
Croatia,UEFA,1989.3,0,0.01694802774024011,0.010315156875541881,0.0242536473555087,0.01732
Belgium,UEFA,1984.8,0,0.016286044807147397,0.009806432212403092,0.02326310909562282,0.01612
Switzerland,UEFA,1982.9,0,0.01601349662043863,0.009583158677303019,0.02288005714279472,0.0151
Senegal,CAF,1942.8,0,0.011142787012799353,0.0032552670088840225,0.020751107399062295,0.01094
Algeria,CAF,1937.5,0,0.010640249993506157,0.0030805865648553072,0.019877603858322962,0.01048
Austria,UEFA,1927.9,0,0.009893543390329891,0.005069447250413103,0.01523525354408606,0.00942
Canada,CONCACAF,1923.5,0,0.008686156113501209,0.0024746965973161572,0.016526002911680212,0.00786
Iran,AFC,1897.9,0,0.007575258290628772,0.0019019040043577486,0.015183533627200728,0.0077
Australia,AFC,1892.6,0,0.007232890032367137,0.0018060422525927012,0.014548989150139939,0.00722
South Korea,AFC,1891.4,0,0.007161137605272154,0.001785996727601257,0.014415565680623068,0.00724
Ivory Coast,CAF,1869.8,0,0.005915470341218789,0.0015882147917190108,0.012130996246563476,0.0058
Egypt,CAF,1857.5,0,0.005323337163924832,0.0013770596391611582,0.011148019393404783,0.00516
Scotland,UEFA,1848.6,0,0.005021868258840375,0.001970211273675677,0.009147157383379179,0.0041
Panama,CONCACAF,1852.3,0,0.004682534402380094,0.0012303638663961102,0.009779272904369486,0.00472
Czech Republic,UEFA,1837.1,0,0.004560909549806179,0.001714457718151071,0.008525552119452795,0.00496
United States,CONCACAF,1836.1,0,0.004076319472081126,0.0010569000111939851,0.008505276979980316,0.00372
Uzbekistan,AFC,1813.2,0,0.0036724684539991763,0.0008723217658792714,0.007763968456851393,0.00354
Sweden,UEFA,1805.7,0,0.003508456603143613,0.0011704062172435232,0.006895302696738321,0.00398
DR Congo,CAF,1773.2,0,0.0026216855414141925,0.0005680945041608806,0.006351807631299597,0.00266
Jordan,AFC,1762.1,0,0.0023988052535884393,0.00048272886073832944,0.005486120942350664,0.0023
Iraq,AFC,1760.2,0,0.0023596062325459306,0.00047079320318031275,0.005411113656742411,0.0026
Tunisia,CAF,1729.5,0,0.0018303648109170968,0.00034751003350978385,0.004797126145424655,0.00168
New Zealand,OFC,1678.2,1,0.0015354290340794494,0.00015863873243350602,0.00456987280574084,0.0014
Saudi Arabia,AFC,1692.0,0,0.0013518986836142507,0.00021547300389681545,0.003517482794515731,0.00134
Bosnia and Herzegovina,UEFA,1676.1,0,0.001224301094717492,0.00024269068479565925,0.0030708040795750183,0.00118
Haiti,CONCACAF,1683.0,0,0.001142767509178642,0.00018799656231029404,0.002932009215219795,0.00108
Cape Verde,CAF,1668.8,0,0.0011208729315835989,0.00016845559161185277,0.0032240530083830756,0.00122
South Africa,CAF,1665.1,0,0.0010876378117534976,0.00016007398451670836,0.003152747288181294,0.00122
Ghana,CAF,1617.4,0,0.0007454582413361017,8.996518213524246e-05,0.0023055840345909844,0.0008
Curaçao,CONCACAF,1563.6,0,0.0004436470931518324,4.592043106028968e-05,0.0013400886917861634,0.00056
Qatar,AFC,1545.7,1,0.00041628465323268024,2.5474302399691412e-05,0.0014153431608316526,0.0003
