pair,continent_a,continent_b,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-01,-0.11695326380338526,-0.2335492244007223,-0.0073418049759188244,-178.5503907376905,-368.99325388339616,-10.330788784611714
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-02,-0.11798992455613373,-0.23383770973328258,-0.008670762717511328,-180.1803540656816,-372.08118720581,-12.287729353363913
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-03,-0.11900390126557174,-0.2340830265293046,-0.009811397141512156,-181.77779509056788,-375.05099331425765,-13.991541985776061
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-04,-0.1199954125161145,-0.23433207941875844,-0.010697281325153025,-183.34292297072196,-376.5823534115493,-15.21650006748435
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-05,-0.1209646768921855,-0.23520582668612175,-0.011142229036585256,-184.87595117085198,-377.53028263275985,-15.849955665345613
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-06,-0.12191191297820794,-0.23616253269032902,-0.011655969495930665,-186.377097372749,-378.07103824083066,-16.756511651182713
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-07,-0.12283733935859749,-0.23696071698111693,-0.012216576895669377,-187.84658338595128,-379.0270160126406,-17.634777344660023
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-08,-0.12374117461777738,-0.23804323990529355,-0.013076510501445385,-189.2846350584199,-380.3549001579424,-18.85414995842053
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-09,-0.12462363734017078,-0.23909007158125112,-0.015323581107006054,-190.69148218721443,-382.03890061254316,-22.02318251904168
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-10,-0.12548494611019353,-0.24008066223601437,-0.01727500347462177,-192.0673584292657,-384.0458567909624,-24.806834031590963
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-11,-0.12632531951226877,-0.24093983820799658,-0.01753485205282252,-193.412501212338,-385.3129399072292,-24.797377305443383
UEFA vs CONMEBOL,UEFA,CONMEBOL,1992-12,-0.1271449761308195,-0.24204430741196967,-0.01772645156937497,-194.7271516461689,-385.8648465038838,-25.468201454962188
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-01,-0.12794413455026185,-0.24300547342140438,-0.01836264815044963,-196.01155443388015,-386.6886340865054,-26.57098785102418
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-02,-0.1287230133550189,-0.24363718419493113,-0.01932348191613455,-197.2659577837461,-387.1424025981834,-27.983375896499023
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-03,-0.12948183112951334,-0.24473861098639477,-0.02025785572695297,-198.49061332130947,-388.15221462992685,-29.353342493589583
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-04,-0.13022080645816178,-0.2449482732983889,-0.02115949372782811,-199.68577600193305,-390.2593956270754,-30.67700248946534
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-05,-0.13094015792538705,-0.24584336129650808,-0.022028922179420676,-200.85170402386743,-392.28509491194984,-31.954995291150677
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-06,-0.1316401041156117,-0.2467404833864674,-0.02295277287359108,-201.9886587418271,-394.1855835955342,-33.167455888337486
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-07,-0.13232086361325263,-0.24758713149679212,-0.023657268379943957,-203.09690458115708,-393.7286146843723,-34.338287863446496
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-08,-0.13298265500273246,-0.2481604607182311,-0.024434704071065207,-204.17670895266517,-394.3540996334234,-35.485141210486006
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-09,-0.13362569686847373,-0.2489209500617336,-0.025273757298472702,-205.2283421681135,-395.52090119882286,-36.59023423106761
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-10,-0.13425020779489352,-0.24965668495429266,-0.02610363554320233,-206.252077356445,-397.2275513931213,-37.65419610268538
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-11,-0.1348564063664144,-0.25036074429432914,-0.0269095936695715,-207.2481903808159,-398.6742174142751,-38.677661497892714
UEFA vs CONMEBOL,UEFA,CONMEBOL,1993-12,-0.1354445111674587,-0.25098354406577417,-0.02769189633162499,-208.21695975642731,-400.5776577799878,-39.79355594554798
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-01,-0.13601474078244385,-0.2516963028276551,-0.028348377027808815,-209.1586665692269,-402.34775020077035,-40.90365076607398
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-02,-0.1365673137957922,-0.2523403428351073,-0.028964556607043404,-210.07359439554588,-403.0689140783039,-41.61172739281982
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-03,-0.13710244879192593,-0.2531673667970647,-0.029437739513170167,-210.9620292226654,-403.74933347975093,-42.32316448122737
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-04,-0.13762036435526284,-0.2540265664179524,-0.02967504610449448,-211.8242593703774,-404.39998298195303,-43.11883635244748
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-05,-0.1381212790702251,-0.2547085336588448,-0.03010524433235907,-212.66057541360001,-405.02135512626484,-43.89612406652689
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-06,-0.13860541152123473,-0.2553490671950882,-0.030596225326274925,-213.4712701060421,-405.8522391415431,-44.59091307473692
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-07,-0.13907298029270979,-0.25595785788482706,-0.03107405937323137,-214.256638304976,-407.0254778419894,-45.0617143900547
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-08,-0.13952420396907236,-0.2565355230571834,-0.03152818495088311,-215.01697689717454,-408.1442235821418,-45.522245005412415
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-09,-0.1399593011347443,-0.2570826800412763,-0.03195910841772519,-215.75258472600558,-409.1760652496283,-45.995391490972544
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-10,-0.14037849037414396,-0.25752953819429475,-0.03236733613224732,-216.4637625197394,-410.1590012075278,-46.670489981264346
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-11,-0.14078199027169322,-0.25775821272322674,-0.03274278408493521,-217.15081282111854,-411.09395885159853,-47.314842406549715
UEFA vs CONMEBOL,UEFA,CONMEBOL,1994-12,-0.14117001941181395,-0.25797165149318946,-0.03305154946437812,-217.81403991818465,-411.9818704374006,-47.934449708746655
UEFA vs CONMEBOL,UEFA,CONMEBOL,1995-01,-0.14154279637892458,-0.2581701549624757,-0.033448012470032845,-218.45374977641157,-412.8236729238247,-48.528563538608424
UEFA vs CONMEBOL,UEFA,CONMEBOL,1995-02,-0.14190053975744704,-0.25835402358938186,-0.033736319999867356,-219.07024997219,-413.6203078189541,-48.96062408670913
UEFA vs CONMEBOL,UEFA,CONMEBOL,1995-03,-0.14224346813180289,-0.2586954156847512,-0.03396748983573472,-219.66384962765756,-414.3727210283038,-49.31102942237356
UEFA vs CONMEBOL,UEFA,CONMEBOL,1995-04,-0.14257180008641102,-0.25904202446091873,-0.03429244685223326,-220.2348593469201,-415.0818627054999,-49.58635904337321
UEFA vs CONMEBOL,UEFA,CONMEBOL,1995-05,-0.14288575420569302,-0.2593701621352001,-0.03459995529569341,-220.78359115370233,-415.74868710547906,-50.02407221122919
