pair,continent_a,continent_b,level_mean,level_p5,level_p95,avg_log_diff_mean,avg_log_diff_p5,avg_log_diff_p95,avg_elo_diff_mean,avg_elo_diff_p5,avg_elo_diff_p95,p_a_stronger
CONMEBOL vs CONCACAF,CONMEBOL,CONCACAF,0.18345492653016682,0.0657174480101822,0.32214206955843155,0.18388754798010287,0.06614021982315747,0.3224757591931006,291.3505664303128,99.75482172892785,522.3620736820417,0.9975
CONMEBOL vs CAF,CONMEBOL,CAF,0.1520657956460332,0.04493206447684406,0.28508097896023205,0.15219281076410263,0.04496753458366559,0.2853694875389025,245.84032910327747,68.01979596536644,472.38202993174923,0.98875
CONMEBOL vs OFC,CONMEBOL,OFC,0.1311512480959318,0.028743839107525242,0.25414855551692245,0.13136571027108476,0.028966007336623387,0.2545067261500653,214.57890796885957,43.776984455058326,435.08212631538277,0.98625
CONMEBOL vs AFC,CONMEBOL,AFC,0.10397052445976535,0.0007633274588080016,0.22720540350844248,0.10404448849987506,0.0007634206963167334,0.2274291081338927,173.72511738475276,2.389321421650922,391.99920491937553,0.9525
CAF vs CONCACAF,CAF,CONCACAF,0.03138913088413359,-0.02761681935629195,0.10086142530254648,0.03169473721600022,-0.02750285609521795,0.10125706043147176,45.51023732703544,-39.40443192912906,145.45358771407223,0.77
UEFA vs CONCACAF,UEFA,CONCACAF,0.023670210954318448,-0.018189424536596745,0.06974455188107384,0.024014547265879326,-0.01782887974638706,0.07023686903683488,34.26060141022839,-25.363666659171685,98.85175134042683,0.81375
UEFA vs CAF,UEFA,CAF,-0.007718919929815141,-0.058201021503096154,0.04092649845381557,-0.0076801899501208835,-0.05818678903547805,0.041008958779088125,-11.249635916807044,-85.95987547524511,59.40551164298444,0.39
CAF vs OFC,CAF,OFC,-0.020914547550101404,-0.07287345560236287,0.02541642785093756,-0.020827100493017853,-0.07287456215754315,0.025365320928926058,-31.261421134417866,-108.04012141429286,37.97898334740197,0.23875
OFC vs AFC,OFC,AFC,-0.02718072363616645,-0.04125366872901521,-0.012326080373153416,-0.0273212217712097,-0.04151378049961912,-0.012596451001634631,-40.85379058410681,-61.76336614699792,-19.23316446252051,0.00125
UEFA vs OFC,UEFA,OFC,-0.028633467479916543,-0.05564246773528182,-0.004755831762462461,-0.02850729044313874,-0.05546881186477519,-0.004687860707654927,-42.51105705122491,-82.35883671483526,-7.294184562982446,0.025
CAF vs AFC,CAF,AFC,-0.04809527118626786,-0.09844099192111083,-0.0039469186214561615,-0.04814832226422755,-0.0985015430509038,-0.004144979313803185,-72.11521171852468,-149.10966924142312,-6.300841202540502,0.03375
CONCACAF vs OFC,CONCACAF,OFC,-0.052303678434234994,-0.10529020832712796,-0.007608663568059984,-0.05252183770901807,-0.10532348452077041,-0.007818973748508984,-76.7716584614533,-150.43770010461617,-11.911679397564951,0.02625
UEFA vs AFC,UEFA,AFC,-0.055814191116082996,-0.07720662702776174,-0.03535366540234909,-0.05582851221434844,-0.07713137759081347,-0.03535915621813777,-83.36484763533171,-116.34791423761176,-52.43644592666356,0.0
CONCACAF vs AFC,CONCACAF,AFC,-0.07948440207040144,-0.12955113234683083,-0.035658386028921026,-0.07984305948022778,-0.1300414862474044,-0.035938203741334385,-117.6254490455601,-189.6174315719521,-53.307420721851095,0.0
UEFA vs CONMEBOL,UEFA,CONMEBOL,-0.15978471557584836,-0.28602638276592635,-0.05277065987874662,-0.15987300071422353,-0.2860616228658063,-0.0529463479350968,-257.0899650200845,-477.28709384214415,-80.72070606441451,0.0025
