confederation,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA,1992-01,7.250276276274244,7.222384715276201,7.281442981118291,1408.725932618697,1369.7516370424032,1453.0832847926608
UEFA,1992-02,7.250204098386679,7.222222114497687,7.280949059797479,1408.6229324061383,1369.5289322473022,1452.3657550360167
UEFA,1992-03,7.250139659711709,7.22204578554025,7.280862930336948,1408.5309657463865,1369.2874657672585,1452.2406673574267
UEFA,1992-04,7.250082870449916,7.2219809824632835,7.2807208501296055,1408.4498948773958,1369.1987350429597,1452.0343472629327
UEFA,1992-05,7.250033640801874,7.222166285104304,7.280513807361487,1408.3795827958877,1369.4524754948688,1451.733747110678
UEFA,1992-06,7.249991880968163,7.222156326128819,7.280441240809731,1408.3198932313244,1369.4388362576608,1451.6284023740611
UEFA,1992-07,7.249957501149362,7.222175787340352,7.280403781906182,1408.2706906203198,1369.4654883058497,1451.5740261618698
UEFA,1992-08,7.249930411546051,7.221930872766756,7.280184523890913,1408.2318400814856,1369.1301261990518,1451.2557923577158
UEFA,1992-09,7.249910522358807,7.222058821678188,7.280183949495255,1408.203207390704,1369.305318171459,1451.2549582221263
UEFA,1992-10,7.249897743788207,7.222134237581141,7.280258682728196,1408.184658956821,1369.4085875293435,1451.3634192232364
UEFA,1992-11,7.2498919860348305,7.222256586637707,7.28028573445316,1408.1760617977675,1369.576144114949,1451.402681629058
UEFA,1992-12,7.2498931592992575,7.2223872685700155,7.2800600561603614,1408.1772835170848,1369.7551340418474,1451.0751695868755
UEFA,1993-01,7.2499011737820656,7.222629586874838,7.2798385303199025,1408.1881922808707,1370.0870910234319,1450.7537539185491
UEFA,1993-02,7.249915939683832,7.22272818625369,7.279706882124318,1408.208656795127,1370.2221875500925,1450.562777022455
UEFA,1993-03,7.249937367205135,7.222674779943269,7.2796643557219864,1408.2385462835123,1370.1490108755622,1450.5011006574305
UEFA,1993-04,7.249965366546556,7.222702191729953,7.279602341419982,1408.2777304654958,1370.186569672413,1450.4111481134414
UEFA,1993-05,7.249999847908672,7.2227859432573185,7.279549252951783,1408.3260795349045,1370.3013296750216,1450.3341471184413
UEFA,1993-06,7.250040721492059,7.222836504731998,7.279693749368417,1408.3834641388678,1370.3706158880873,1450.54372776361
UEFA,1993-07,7.250087897497299,7.222850868778641,7.279800128716166,1408.4497553571473,1370.390300026415,1450.6980433567355
UEFA,1993-08,7.250141286124968,7.2229523548862655,7.279724719999254,1408.5248246818574,1370.5293826914356,1450.5886539602513
UEFA,1993-09,7.250200797575648,7.223130457583364,7.279884852196682,1408.6085439975684,1370.7734996527895,1450.820956666035
UEFA,1993-10,7.250266342049913,7.2232371380093845,7.279837827155275,1408.7007855617894,1370.9197422916156,1450.7527340013496
UEFA,1993-11,7.250337829748343,7.22331057036618,7.279942438027113,1408.8014219858326,1371.0204155374488,1450.9045059970608
UEFA,1993-12,7.250415170871518,7.223395587827828,7.2799907335129355,1408.9103262160513,1371.1369814944815,1450.9745810817572
UEFA,1994-01,7.250498275620015,7.223466076076951,7.27993554242506,1409.027371515452,1371.2336335276716,1450.894508955596
UEFA,1994-02,7.250587054194413,7.223630070889037,7.280098064291049,1409.152431445678,1371.4585274663507,1451.1303231176512
UEFA,1994-03,7.250681416795291,7.223676969842931,7.280137092899507,1409.2853798493638,1371.5228486609888,1451.1869595293053
UEFA,1994-04,7.250781273623225,7.223795621572775,7.280264229908871,1409.4260908328513,1371.6855918925032,1451.3714713368618
UEFA,1994-05,7.250886534878797,7.223942192726959,7.280423649347123,1409.5744387492784,1371.8866562552332,1451.602866724611
UEFA,1994-06,7.250997110762582,7.224096402046999,7.280625472471357,1409.7302981820246,1372.0982304494785,1451.8958628594773
UEFA,1994-07,7.251112911475162,7.224264600028896,7.28083120077099,1409.89354392852,1372.3290337200053,1452.1945892450274
UEFA,1994-08,7.2512338472171125,7.224393856892443,7.280959808665973,1410.0640509844163,1372.5064281322102,1452.381364792111
UEFA,1994-09,7.251359828189013,7.224498006292758,7.280965600521151,1410.2416945281132,1372.64938129673,1452.3897781955134
UEFA,1994-10,7.251490764591444,7.224618010783138,7.281106428580284,1410.4263499056408,1372.8141152797875,1452.5943288159772
UEFA,1994-11,7.251626566624979,7.224739660729705,7.281250589135406,1410.6178926159023,1372.9811282151188,1452.8037501878484
UEFA,1994-12,7.251767144490203,7.224832254920836,7.281368981825414,1410.8161982962652,1373.1082641680573,1452.975761660208
UEFA,1995-01,7.251912408387689,7.224954584594834,7.28152339294679,1411.0211427085083,1373.2762464548298,1453.2001345951664
UEFA,1995-02,7.252062268518017,7.225052041803402,7.2816367566465505,1411.2326017251207,1373.410088702148,1453.3648842002442
UEFA,1995-03,7.252216635081768,7.225124896535141,7.281812997957215,1411.450451315952,1373.5101515772317,1453.6210496456058
UEFA,1995-04,7.252375418279517,7.225279746250463,7.282023392705104,1411.6745675352072,1373.7228559193884,1453.9269160426438
UEFA,1995-05,7.252538528311843,7.22545289976499,7.282238653745149,1411.9048265088015,1373.96074128009,1454.2399234702061
UEFA,1995-06,7.252705875379326,7.225648852700012,7.282349977950781,1412.1411044220529,1374.2299992664312,1454.4018250152021
UEFA,1995-07,7.252877369682545,7.2258192679510165,7.2825133828711515,1412.383277507725,1374.4642089627228,1454.6395006718103
UEFA,1995-08,7.253052921422076,7.225979617264481,7.282678905140699,1412.6312220344234,1374.6846210497336,1454.8802957143369
UEFA,1995-09,7.253232440798499,7.226189150283264,7.282888599905612,1412.8848142953311,1374.9726930861327,1455.1854083506648
UEFA,1995-10,7.253415838012392,7.226384553007699,7.283045244156135,1413.1439305972901,1375.2413928450978,1455.4133726722514
UEFA,1995-11,7.253603023264335,7.226584685122822,7.283204512068928,1413.4084472502357,1375.516650500194,1455.645191741232
UEFA,1995-12,7.253793906754905,7.226789408592253,7.283375109826457,1413.6782405569688,1375.798280059157,1455.8935430110814
UEFA,1996-01,7.25398839868468,7.227000830065465,7.283549548228057,1413.9531868032757,1376.0891839746362,1456.1475293742735
UEFA,1996-02,7.254186409254238,7.227218273981997,7.283727227553661,1414.2331622483953,1376.3884384621142,1456.4062798629684
UEFA,1996-03,7.254387848664161,7.2274398922356555,7.2839099991103655,1414.5180431158283,1376.693504974399,1456.6724940443169
UEFA,1996-04,7.254592627115024,7.227633483846131,7.284097750361997,1414.8077055844892,1376.9600472116858,1456.9460120340232
UEFA,1996-05,7.254800654807405,7.227798470369817,7.284288755916891,1415.1020257802095,1377.1872460786105,1457.2243231932387
UEFA,1996-06,7.255011841941886,7.227972900010755,7.284483280330732,1415.4008797675804,1377.4274890659242,1457.5078160160156
