wc_year,team,confederation,elo_pre_wc,continental_champion,winner_position,is_winner,elo_z
1930,Argentina,CONMEBOL,1809.062990382834,1,0,0,0.013570467508297945
1930,Belgium,UEFA,1439.7345027564643,0,1,0,-2.294598912938151
1930,Bolivia,CONMEBOL,1312.895369534795,0,2,0,-3.087297590005275
1930,Brazil,CONMEBOL,1607.452595861031,0,3,0,-1.2464215314997098
1930,Chile,CONMEBOL,1374.644414694993,0,4,0,-2.7013884059437374
1930,France,UEFA,1320.419892910521,0,5,0,-3.040272042179475
1930,Mexico,CONCACAF,1474.8309095473012,0,6,0,-2.0752590725729134
1930,Paraguay,CONMEBOL,1556.6170390775612,0,7,0,-1.5641253630120402
1930,Peru,CONMEBOL,1395.5492393415489,0,8,0,-2.570740817768529
1930,Romania,UEFA,1460.1592554784374,0,9,0,-2.1669516005441456
1930,United States,CONCACAF,1508.168442772971,0,10,0,-1.866911555419153
1930,Uruguay,CONMEBOL,1698.1559802468328,0,11,1,-0.6795582064210085
1930,Yugoslavia,UEFA,1466.1829897903576,0,12,0,-2.129305441202155
1934,Argentina,CONMEBOL,1825.5371914843768,1,0,0,0.1165282620566741
1934,Austria,UEFA,1839.872051093225,0,1,0,0.20611594654532617
1934,Belgium,UEFA,1327.7984512672715,0,2,0,-2.99415872289467
1934,Brazil,CONMEBOL,1670.0185036842686,0,3,0,-0.8554072514327835
1934,Czechoslovakia,UEFA,1699.4376070622145,0,4,0,-0.6715485026707365
1934,Egypt,CAF,1602.0078231057782,0,5,0,-1.2804493906500647
1934,France,UEFA,1468.5714914428952,0,6,0,-2.1143781703193567
1934,Germany,UEFA,1631.3866305147965,0,7,0,-1.096842477109915
1934,Hungary,UEFA,1659.9693455280312,0,8,0,-0.9182108529219708
1934,Italy,UEFA,1776.6397277393507,0,9,1,-0.18906318939923855
1934,Netherlands,UEFA,1461.3175963604474,0,10,0,-2.1597123892578516
1934,Romania,UEFA,1542.1347218971734,0,11,0,-1.6546346039550286
1934,Spain,UEFA,1762.588269833752,0,12,0,-0.27687971581121135
1934,Sweden,UEFA,1578.085853285106,0,13,0,-1.4299530441995276
1934,Switzerland,UEFA,1431.6839780120722,0,14,0,-2.3449117789479095
1934,United States,CONCACAF,1587.2107026968556,0,15,0,-1.3729260378379378
1938,Belgium,UEFA,1411.7806948846492,0,0,0,-2.469300095106043
1938,Brazil,CONMEBOL,1642.3577416598087,0,1,0,-1.0282770031137416
1938,Cuba,CONCACAF,1460.3305559389046,0,2,0,-2.16588103466322
1938,Czechoslovakia,UEFA,1652.2456505308055,0,3,0,-0.9664811512980307
1938,France,UEFA,1488.235447897,0,4,0,-1.9914855592524474
1938,Germany,UEFA,1721.9532248857051,0,5,0,-0.5308340401173074
1938,Hungary,UEFA,1743.3750615712095,0,6,0,-0.39695531381546123
1938,Indonesia,AFC,1483.4445487447592,0,7,0,-2.02142694503365
1938,Italy,UEFA,1903.2029047272736,0,8,1,0.6019108610809398
1938,Netherlands,UEFA,1506.1973567988348,0,9,0,-1.8792301293828584
1938,Norway,UEFA,1497.5862415030363,0,10,0,-1.9330464834501992
1938,Poland,UEFA,1520.6697828091703,0,11,0,-1.7887827046728881
1938,Romania,UEFA,1464.578641903913,0,12,0,-2.1393320348474893
1938,Sweden,UEFA,1486.847852020892,0,13,0,-2.0001575312799784
1938,Switzerland,UEFA,1493.9353116770924,0,14,0,-1.9558634735192877
1950,Bolivia,CONMEBOL,1392.4518530671423,0,0,0,-2.5900983609787693
1950,Brazil,CONMEBOL,1781.2512852123048,1,1,0,-0.16024262420631008
1950,Chile,CONMEBOL,1485.6927950173942,0,2,0,-2.0073762195140716
1950,England,UEFA,1879.5096842611968,0,3,0,0.453836808208824
1950,Italy,UEFA,1835.7180925725886,0,4,0,0.18015520919035272
1950,Mexico,CONCACAF,1688.3325989853731,0,5,0,-0.7409507840309184
1950,Paraguay,CONMEBOL,1742.139601007547,0,6,0,-0.4046764952009587
1950,Spain,UEFA,1665.1616462183356,0,7,0,-0.8857608528029552
1950,Sweden,UEFA,1707.4395565544091,0,8,0,-0.6215392144068763
1950,Switzerland,UEFA,1534.0142382719782,0,9,0,-1.7053846876503167
1950,United States,CONCACAF,1438.1775953701908,0,10,0,-2.304329020627062
1950,Uruguay,CONMEBOL,1566.597179519958,0,11,1,-1.5017530972554933
1950,Yugoslavia,UEFA,1692.2932840919773,0,12,0,-0.7161979355642104
1954,Austria,UEFA,1665.8047140503852,0,0,0,-0.8817419115914975
1954,Belgium,UEFA,1645.3848019115235,0,1,0,-1.009358972092958
1954,Brazil,CONMEBOL,1843.5067795650366,0,2,0,0.22883168401467496
1954,Czechoslovakia,UEFA,1585.6760414772864,0,3,0,-1.3825171150362712
1954,England,UEFA,1793.212308501194,0,4,0,-0.08549055757951184
1954,France,UEFA,1627.571313516862,0,5,0,-1.1206868275090058
1954,Germany,UEFA,1795.5749534039812,0,6,1,-0.07072488202458889
1954,Hungary,UEFA,1923.8242347242428,0,7,0,0.7307867102985021
1954,Italy,UEFA,1772.8705820618022,0,8,0,-0.21261898575622237
1954,Mexico,CONCACAF,1613.0986118318003,0,9,0,-1.2111359750862416
1954,Scotland,UEFA,1681.98713788124,0,10,0,-0.7806076193850087
1954,South Korea,AFC,1595.7370277840018,0,11,0,-1.3196395918874353
1954,Switzerland,UEFA,1503.7717730231807,0,12,0,-1.8943891501143875
1954,Turkey,UEFA,1569.4281997574437,0,13,0,-1.4840602453729181
1954,Uruguay,CONMEBOL,1740.5041675228774,0,14,0,-0.41489736258471205
1954,Yugoslavia,UEFA,1797.2373375955888,0,15,0,-0.06033558247646275
1958,Argentina,CONMEBOL,1870.0133536281128,1,0,0,0.3944881786602295
1958,Austria,UEFA,1740.3284597461477,0,1,0,-0.4159954725971846
1958,Brazil,CONMEBOL,1826.2432407055503,0,2,1,0.12094081415595732
1958,Czechoslovakia,UEFA,1751.0675756506082,0,3,0,-0.34887988489083466
1958,England,UEFA,1825.5830806225576,0,4,0,0.11681505256212611
1958,France,UEFA,1700.174311805681,0,5,0,-0.6669443646519561
1958,Germany,UEFA,1727.4983833221113,0,6,0,-0.49617880679128995
1958,Hungary,UEFA,1867.035462470289,0,7,0,0.37587743668100687
1958,Mexico,CONCACAF,1666.722924502797,0,8,0,-0.876003428582283
1958,Northern Ireland,UEFA,1559.7855464133027,0,9,0,-1.5443233389085627
1958,Paraguay,CONMEBOL,1617.9802806401033,0,10,0,-1.1806273118059687
1958,Russia,UEFA,1742.2653376246678,0,11,0,-0.40389068685050006
1958,Scotland,UEFA,1688.6221248365937,0,12,0,-0.7391413522458701
1958,Sweden,UEFA,1643.4078868518495,0,13,0,-1.0217139757316136
1958,Wales,UEFA,1560.0890570752902,0,14,0,-1.542426507117598
1958,Yugoslavia,UEFA,1762.1826884546456,0,15,0,-0.27941445264277653
1962,Argentina,CONMEBOL,1822.4554325624997,0,0,0,0.09726838414389759
1962,Brazil,CONMEBOL,1986.6538960754085,0,1,1,1.1234493544574085
1962,Bulgaria,UEFA,1627.7939202933744,0,2,0,-1.1192956157215581
1962,Chile,CONMEBOL,1615.7329917803747,0,3,0,-1.1946720538413877
1962,Colombia,CONCACAF,1366.889443724884,0,4,0,-2.749854167830931
1962,Czechoslovakia,UEFA,1807.8967756241072,0,5,0,0.0062820473422345305
1962,England,UEFA,1792.2830741668606,0,6,0,-0.09129793586097729
1962,Germany,UEFA,1741.5189176480446,0,7,0,-0.408555541560376
1962,Hungary,UEFA,1780.94006007957,0,8,0,-0.16218766864742692
1962,Italy,UEFA,1737.002332654563,0,9,0,-0.4367825631290044
1962,Mexico,CONCACAF,1693.6561169203835,0,10,0,-0.707680723622583
1962,Russia,UEFA,1939.753486883908,1,11,0,0.8303387711878455
1962,Spain,UEFA,1829.9345587527364,0,12,0,0.14401021599052075
1962,Switzerland,UEFA,1618.0192159017959,0,13,0,-1.1803839805118244
1962,Uruguay,CONMEBOL,1765.1665711691044,1,14,0,-0.2607662656030464
1962,Yugoslavia,UEFA,1887.6233387280006,0,15,0,0.504544212135772
1966,Argentina,CONMEBOL,1839.2106825120409,0,0,0,0.201982632275177
1966,Brazil,CONMEBOL,1900.8240817220112,0,1,0,0.5870440782407197
1966,Bulgaria,UEFA,1721.1413767765648,0,2,0,-0.5359077969756919
1966,Chile,CONMEBOL,1637.1288148088681,0,3,0,-1.0609559034810077
1966,England,UEFA,1896.0443799526734,0,4,1,0.5571726720501086
1966,France,UEFA,1598.3647809183053,0,5,0,-1.3032170858334007
1966,Germany,UEFA,1826.3687546499418,0,6,0,0.1217252308824478
1966,Hungary,UEFA,1812.144695779048,0,7,0,0.03283001090505329
1966,Italy,UEFA,1869.038523798945,0,8,0,0.388395845037953
1966,Mexico,CONCACAF,1797.3447706483237,1,9,0,-0.059664164778997025
1966,North Korea,AFC,1741.7336761041686,0,10,0,-0.4072133789348958
1966,Portugal,UEFA,1755.954275738166,0,11,0,-0.3183397779361377
1966,Russia,UEFA,1892.6231218012576,0,12,0,0.5357910468241407
