pair,continent_a,continent_b,level_mean,level_p5,level_p95,avg_log_diff_mean,avg_log_diff_p5,avg_log_diff_p95,avg_elo_diff_mean,avg_elo_diff_p5,avg_elo_diff_p95,p_a_stronger
CONMEBOL vs CONCACAF,CONMEBOL,CONCACAF,0.1944624846842048,0.068532241998914,0.31405850310491007,0.19489961184589505,0.0689166870368057,0.31441486712475597,308.0586307402338,103.0793763347825,518.5442812971831,0.9975
CONMEBOL vs CAF,CONMEBOL,CAF,0.16249589652847732,0.05234605822593462,0.28425467199705,0.1626254866355466,0.052430193251087734,0.2843411343919128,262.00817193052734,79.29879270290711,469.4073807071375,0.9925
CONMEBOL vs OFC,CONMEBOL,OFC,0.13456941920435445,0.030082122771370814,0.24778915514736097,0.13478904702516664,0.03004939109904777,0.24803613731401494,220.4402991457058,46.88043239531625,420.0017345673445,0.986875
CONMEBOL vs AFC,CONMEBOL,AFC,0.10734955738648505,0.001927513052488373,0.22267190861285982,0.10742613933417805,0.001956100118162884,0.2227122895185471,179.4735744724892,4.105454595093876,380.88000554147595,0.9525
CAF vs CONCACAF,CAF,CONCACAF,0.03196658815572747,-0.022520776847809308,0.0887545356118567,0.03227412521034842,-0.022124883335121106,0.08898060814157713,46.0504588097065,-31.9710138632345,127.65961960540497,0.819375
UEFA vs CONCACAF,UEFA,CONCACAF,0.031811504877319645,-0.013586546410471648,0.0720362590928497,0.03216000605786474,-0.01321677806078192,0.07234847896704376,45.89889025129471,-18.86242591823244,103.01551732682678,0.88625
UEFA vs CAF,UEFA,CAF,-0.0001550832784078221,-0.04692687284545475,0.04079796911566108,-0.00011411915248367821,-0.04686558759956369,0.040892014404484416,-0.15156855841179437,-69.13505245764539,59.18923155640149,0.506875
OFC vs AFC,OFC,AFC,-0.027219861817869406,-0.042235623843000954,-0.012135458708681207,-0.02736290769098856,-0.042358136679974547,-0.012297473383908977,-40.96672467321666,-63.90856991928538,-18.286865269292285,0.001875
CAF vs OFC,CAF,OFC,-0.027926477324122866,-0.07205935209682678,0.014794930390730994,-0.027836439610380008,-0.07196280086971021,0.015060809657279892,-41.56787278482148,-106.12259282097648,21.96977388470092,0.143125
UEFA vs OFC,UEFA,OFC,-0.028081560602530687,-0.05432598039128134,-0.0034113057020483486,-0.027950558762863686,-0.05418435227531359,-0.0034172748430950123,-41.719441343233285,-81.26516801825974,-5.433484610181361,0.02875
CAF vs AFC,CAF,AFC,-0.055146339141992275,-0.0956815245818635,-0.013860684033914463,-0.05519934730136857,-0.09573148835308297,-0.013942903751572821,-82.53459745803815,-143.95962757391945,-21.22047471925241,0.016875
UEFA vs AFC,UEFA,AFC,-0.05530142242040009,-0.07693078421309962,-0.03489372524177152,-0.05531346645385225,-0.07689828194098633,-0.03489798543744142,-82.68616601644993,-116.13517586756926,-51.91531939280696,0.0
CONCACAF vs OFC,CONCACAF,OFC,-0.05989306547985032,-0.10244916697077078,-0.012041406269255634,-0.06011056482072843,-0.10280766485084007,-0.012059398753660473,-87.61833159452799,-149.3940022627869,-18.125612084999442,0.014375
CONCACAF vs AFC,CONCACAF,AFC,-0.08711292729771973,-0.12858990727657477,-0.04164571041160957,-0.087473472511717,-0.12893422503382673,-0.042035636286733416,-128.58505626774465,-188.53894042400847,-62.01654312775149,0.0
UEFA vs CONMEBOL,UEFA,CONMEBOL,-0.16265097980688517,-0.2780297620738795,-0.05352663425485711,-0.16273960578803034,-0.2781432017024351,-0.053788553417616125,-262.1597404889391,-464.11332528367177,-82.1760801863689,0.003125
