team,confederation
Abkhazia,Other
Afghanistan,AFC
Albania,UEFA
Alderney,Other
Algeria,CAF
Ambazonia,Other
American Samoa,OFC
Andalusia,Other
Andorra,UEFA
Angola,CAF
Anguilla,CONCACAF
Antigua and Barbuda,CONCACAF
Arameans Suryoye,Other
Argentina,CONMEBOL
Armenia,UEFA
Artsakh,Other
Aruba,CONCACAF
Asturias,Other
Australia,AFC
Austria,UEFA
Aymara,Other
Azerbaijan,UEFA
Bahamas,CONCACAF
Bahrain,AFC
Bangladesh,AFC
Barawa,Other
Barbados,CONCACAF
Basque Country,Other
Belarus,UEFA
Belgium,UEFA
Belize,CONCACAF
Benin,CAF
Bermuda,CONCACAF
Bhutan,AFC
Biafra,Other
Bolivia,CONMEBOL
Bonaire,CONCACAF
Bosnia and Herzegovina,UEFA
Botswana,CAF
Brazil,CONMEBOL
British Virgin Islands,CONCACAF
Brittany,Other
Brunei,AFC
Bulgaria,UEFA
Burkina Faso,CAF
Burundi,CAF
Cambodia,AFC
Cameroon,CAF
Canada,CONCACAF
Canary Islands,Other
Canton Ticino,Other
Cape Verde,CAF
Cascadia,Other
Catalonia,Other
Cayman Islands,CONCACAF
Central African Republic,CAF
Central Spain,Other
Chad,CAF
Chagos Islands,Other
Chameria,Other
Chechnya,Other
Chile,CONMEBOL
China,AFC
Cilento,Other
Colombia,CONCACAF
Comoros,CAF
Congo,CAF
Cook Islands,OFC
Corsica,Other
Costa Rica,CONCACAF
County of Nice,Other
Crimea,Other
Croatia,UEFA
Cuba,CONCACAF
Curaçao,CONCACAF
Cyprus,UEFA
Czech Republic,UEFA
Czechoslovakia,UEFA
DR Congo,CAF
Darfur,Other
Denmark,UEFA
Djibouti,CAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
Donetsk PR,Other
Délvidék,Other
East Turkestan,Other
Ecuador,CONMEBOL
Egypt,CAF
El Salvador,CONCACAF
Elba Island,Other
Ellan Vannin,Other
England,UEFA
Equatorial Guinea,CAF
Eritrea,CAF
Estonia,UEFA
Eswatini,CAF
Ethiopia,CAF
Falkland Islands,Other
Faroe Islands,UEFA
Felvidék,Other
Fiji,OFC
Finland,UEFA
France,UEFA
Franconia,Other
French Guiana,CONCACAF
Frøya,Other
Gabon,CAF
Galicia,Other
Gambia,CAF
Georgia,UEFA
German DR,UEFA
Germany,UEFA
Ghana,CAF
Gibraltar,UEFA
Gotland,Other
Gozo,Other
Greece,UEFA
Greenland,Other
Grenada,CONCACAF
Guadeloupe,CONCACAF
Guam,OFC
Guatemala,CONCACAF
Guernsey,Other
Guinea,CAF
Guinea-Bissau,CAF
Guyana,CONCACAF
Găgăuzia,Other
Haiti,CONCACAF
Hitra,Other
Hmong,Other
